profile_id,mean_baseline_score,mean_post_score,mean_signed_delta_score,mean_abs_delta_score,mean_baseline_abs_score,mean_exposure_quality_score,mean_attack_realism_score,mean_attack_coherence_score,mean_post_plausibility_score,mean_post_consistency_score,n_attacked_opinion_leaves,mean_adversarial_effectivity,profile_cont_chronological_age,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_heuristic_shift_sensitivity_proxy,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other
profile_0065,263.3125,279.1875,15.875,37.25,263.3125,0.7204166666666667,0.725,0.8125,0.7937500000000001,0.75,16,-14.25,40.0,58.17,53.506,59.548,67.87,55.71,65.686,60.082,41.188,60.409,56.644,59.951,45.619,54.72,53.088,67.752,58.435,65.814,54.973,60.504,64.195,61.945,85.196,99.953,86.814,78.307,84.447,100.0,89.12,47.715,47.199,40.862,47.212,44.577,42.91,45.079,0.6682,0.3318,1.0,0.0,0.0
profile_0068,359.75,394.0,34.25,40.25,359.75,0.70875,0.7062499999999999,0.7937500000000001,0.76875,0.7875,16,-14.625,34.0,31.583,25.107,30.125,30.08,28.836,18.458,27.365,42.51,40.168,54.427,52.976,56.707,54.557,50.224,63.931,45.212,51.077,58.509,65.191,61.925,57.641,22.964,15.701,13.381,23.214,30.793,13.437,19.915,7.534,9.276,34.553,1.905,20.695,13.728,14.615,0.3944,0.6056,0.0,1.0,0.0
profile_0072,273.0,311.0625,38.0625,50.8125,273.0,0.6995833333333333,0.68125,0.78125,0.69375,0.6875,16,-9.4375,50.0,17.072,23.237,14.345,18.901,6.203,9.625,14.897,0.0,2.663,1.918,8.885,10.761,3.421,4.608,83.429,71.892,56.23,74.257,63.535,53.041,67.064,70.914,53.793,72.741,64.352,74.327,66.705,67.139,81.215,100.0,74.635,100.0,79.492,75.514,85.143,0.6505,0.3495,1.0,0.0,0.0
profile_0079,531.4375,569.125,37.6875,40.5625,531.4375,0.7270833333333334,0.725,0.8250000000000001,0.7937500000000001,0.79375,16,-19.9375,38.0,27.1,2.789,15.932,21.867,22.939,12.457,17.181,75.724,81.214,70.536,76.632,86.313,84.848,79.211,25.199,32.741,33.374,15.295,16.161,28.735,25.251,16.051,0.0,0.483,7.439,13.017,9.418,7.735,58.66,65.773,73.349,84.969,71.164,74.025,71.323,0.2105,0.7895,0.0,1.0,0.0
profile_0080,225.1875,248.9375,23.75,43.5,225.1875,0.703125,0.7,0.7875000000000001,0.68125,0.69375,16,-4.875,46.0,19.958,10.604,6.794,24.129,26.82,17.776,17.68,16.817,0.0,9.018,0.0,4.615,6.081,6.088,27.607,6.57,10.912,12.961,15.479,7.067,13.432,77.02,83.157,84.551,88.627,75.211,59.767,78.055,89.143,79.231,79.8,95.958,93.134,95.923,88.865,0.6922,0.3078,0.0,1.0,0.0
profile_0082,163.375,202.5,39.125,42.875,163.375,0.7008333333333333,0.7062499999999999,0.76875,0.59375,0.5625,16,-11.75,35.0,10.554,5.717,8.725,20.63,0.0,3.831,8.243,64.461,68.217,66.697,60.74,56.197,56.231,62.09,41.378,45.986,30.245,40.001,48.38,34.27,40.043,70.551,68.74,70.849,58.042,41.402,65.894,62.58,26.104,39.055,38.944,38.318,39.66,53.454,39.256,0.5321,0.4679,0.0,0.0,1.0
profile_0085,588.375,627.8125,39.4375,44.0625,588.375,0.7258333333333333,0.71875,0.8187500000000001,0.8,0.81875,16,-27.9375,31.0,76.248,66.257,71.562,49.807,63.947,65.914,65.623,68.953,51.658,83.042,76.501,85.59,70.549,72.716,89.328,97.285,100.0,100.0,100.0,93.852,96.744,0.083,20.596,22.072,10.156,37.6,14.251,17.46,0.0,9.842,1.717,9.008,0.0,5.467,4.339,0.3374,0.6626,0.0,1.0,0.0
profile_0092,264.9375,275.875,10.9375,39.6875,264.9375,0.7010416666666667,0.69375,0.78125,0.7125,0.675,16,9.5625,34.0,26.294,24.254,12.44,27.208,1.853,34.949,21.166,57.838,42.221,53.878,38.978,45.032,45.306,47.209,18.917,20.763,32.373,34.405,29.9,30.806,27.861,88.1,81.09,76.918,83.798,98.471,78.503,84.48,20.079,38.974,22.597,26.473,31.76,12.578,25.41,0.6817,0.3183,0.0,1.0,0.0
profile_0094,295.875,329.5,33.625,45.125,295.875,0.7135416666666666,0.7062499999999999,0.80625,0.7125,0.7,16,-19.5,40.0,56.465,56.111,54.845,46.467,78.082,69.472,60.24,50.559,52.86,40.14,38.899,46.135,54.989,47.264,43.068,47.897,50.29,48.484,56.072,50.585,49.399,42.271,35.262,22.524,29.409,26.202,35.643,31.885,14.034,41.01,24.909,24.48,20.386,30.644,25.911,0.4444,0.5556,0.0,0.0,1.0
profile_0095,468.9375,493.625,24.6875,36.4375,468.9375,0.7004166666666667,0.69375,0.78125,0.8,0.79375,16,-6.1875,30.0,88.993,79.946,74.893,90.53,74.554,81.852,81.795,82.816,70.609,62.561,73.632,55.213,76.331,70.194,0.0,26.04,14.33,4.37,18.117,13.439,12.716,0.0,6.461,14.805,0.0,10.718,14.813,7.8,79.769,63.614,76.819,92.852,78.155,75.802,77.835,0.2268,0.7732,1.0,0.0,0.0
profile_0096,422.75,456.375,33.625,43.25,422.75,0.7135416666666666,0.7125,0.8,0.76875,0.7625,16,-25.875,63.0,23.016,42.06,29.504,41.779,43.676,44.476,37.419,73.237,45.648,86.686,67.566,60.983,61.76,65.98,42.063,67.032,44.361,40.947,43.965,51.909,48.38,33.936,41.212,55.82,36.702,43.839,55.776,44.547,29.609,42.553,36.979,35.75,29.322,49.005,37.203,0.4433,0.5567,1.0,0.0,0.0
profile_0101,163.9375,190.5,26.5625,39.8125,163.9375,0.6829166666666666,0.6625,0.7625000000000001,0.68125,0.66875,16,-31.8125,26.0,56.376,44.864,66.726,49.376,49.688,64.429,55.243,69.321,65.928,65.606,66.975,70.528,76.415,69.129,63.899,47.806,50.596,44.504,50.762,37.436,49.167,81.189,94.326,78.173,74.87,83.793,79.482,81.972,11.323,15.975,1.683,5.596,11.635,15.945,10.36,0.6307,0.3693,1.0,0.0,0.0
profile_0102,538.9375,579.25,40.3125,44.8125,538.9375,0.6954166666666667,0.68125,0.78125,0.815625,0.853125,16,-18.4375,53.0,57.659,52.085,52.063,53.904,51.499,74.908,57.02,92.753,100.0,100.0,100.0,100.0,96.059,98.135,76.036,69.114,80.752,70.63,74.964,68.341,73.306,32.09,24.51,22.618,26.542,24.622,16.414,24.466,13.844,15.699,24.16,12.477,10.627,7.034,13.974,0.2958,0.7042,1.0,0.0,0.0
profile_0105,381.25,414.75,33.5,44.75,381.25,0.7358333333333333,0.74375,0.84375,0.775,0.74375,16,-11.75,48.0,100.0,90.495,96.255,94.757,98.293,100.0,96.633,65.341,65.496,79.806,74.118,77.624,60.107,70.415,41.154,65.589,30.976,23.886,36.772,46.757,40.856,75.646,63.941,63.134,76.606,65.783,72.644,69.626,60.644,46.174,58.645,38.593,47.006,60.79,51.975,0.5303,0.4697,0.0,1.0,0.0
profile_0107,629.5625,679.0,49.4375,49.4375,629.5625,0.74375,0.71875,0.80625,0.8125,0.809375,16,-23.5625,37.0,0.0,5.824,22.461,0.0,6.367,5.703,6.726,99.011,77.276,93.183,73.767,100.0,82.936,87.696,76.95,82.577,79.981,88.256,80.806,75.962,80.755,37.043,37.815,39.856,39.313,54.683,39.986,41.449,87.784,74.89,73.155,77.146,89.575,64.998,77.925,0.3344,0.6656,0.0,1.0,0.0
profile_0109,371.1875,394.875,23.6875,43.3125,371.1875,0.704375,0.69375,0.78125,0.7312500000000001,0.75,16,-8.1875,28.0,71.162,83.925,72.555,74.098,74.09,61.837,72.945,95.275,93.311,100.0,100.0,100.0,95.373,97.327,44.016,33.016,32.479,44.708,39.117,45.105,39.74,84.255,96.343,78.95,83.49,81.508,79.086,83.939,52.258,67.736,56.466,75.754,65.3,75.759,65.546,0.5139,0.4861,0.0,0.0,1.0
profile_0110,396.375,419.625,23.25,38.125,396.375,0.7197916666666667,0.71875,0.8187500000000001,0.70625,0.75,16,-13.375,53.0,58.021,67.466,64.512,79.695,68.998,67.065,67.626,37.297,24.728,10.632,25.673,14.87,13.862,21.177,76.218,77.776,66.815,68.739,63.777,53.586,67.818,31.659,16.255,5.637,29.634,7.76,17.209,18.026,15.042,6.135,5.458,10.152,9.164,21.565,11.253,0.4619,0.5381,1.0,0.0,0.0
profile_0116,216.0625,242.125,26.0625,38.8125,216.0625,0.7147916666666667,0.71875,0.7937500000000001,0.6687500000000001,0.6625,16,-6.6875,42.0,18.696,51.464,15.719,38.399,38.785,33.923,32.831,29.186,27.441,12.87,28.098,32.879,14.389,24.144,18.743,18.399,15.117,16.978,22.736,26.673,19.774,63.271,52.944,54.647,56.323,57.557,63.702,58.074,26.049,30.49,23.705,31.455,55.468,41.353,34.753,0.6112,0.3888,0.0,1.0,0.0
profile_0119,266.4375,294.0,27.5625,47.9375,266.4375,0.7275,0.7375,0.8250000000000001,0.725,0.68125,16,-11.9375,33.0,18.991,14.899,13.473,9.758,14.744,2.997,12.477,40.724,26.122,40.99,32.815,27.512,41.981,35.024,21.781,5.697,27.317,7.29,20.426,28.403,18.486,28.253,13.105,15.477,14.103,9.953,2.988,13.98,31.358,40.428,35.36,24.375,50.459,30.641,35.437,0.3849,0.6151,1.0,0.0,0.0
profile_0122,50.5625,64.0,13.4375,30.6875,93.3125,0.715625,0.70625,0.80625,0.7,0.6375,16,-11.4375,23.0,73.354,76.817,86.313,72.242,87.337,89.651,80.952,14.616,18.282,0.0,8.943,34.677,27.696,17.369,16.178,4.312,8.826,0.994,4.752,0.0,5.844,76.262,87.104,59.741,81.333,61.453,89.534,75.904,43.341,43.789,21.341,21.316,23.249,27.872,30.151,0.713,0.287,0.0,0.0,1.0
profile_0129,330.75,359.3125,28.5625,51.8125,330.75,0.6879166666666666,0.66875,0.76875,0.7625000000000001,0.8,16,-16.3125,44.0,73.439,84.214,80.967,87.6,77.293,88.359,81.979,68.486,62.666,84.305,54.78,61.866,75.832,67.989,18.469,9.771,23.151,20.525,30.078,27.049,21.507,29.529,36.873,31.408,28.66,22.83,25.21,29.085,29.925,28.586,21.132,27.734,38.644,27.684,28.951,0.377,0.623,0.0,0.0,1.0
profile_0130,391.1875,431.125,39.9375,44.5625,391.1875,0.710625,0.7062499999999999,0.7937500000000001,0.8,0.746875,16,-19.5625,39.0,61.888,62.846,72.373,76.576,62.806,77.475,68.994,42.93,64.478,49.78,58.689,42.039,59.087,52.834,100.0,95.11,90.781,100.0,91.103,75.426,92.07,51.881,56.132,59.26,51.249,61.6,58.211,56.389,35.436,52.038,37.912,46.503,63.335,11.978,41.2,0.5255,0.4745,0.0,0.0,1.0
profile_0134,570.3125,613.25,42.9375,42.9375,570.3125,0.728125,0.7125,0.796875,0.8,0.821875,16,-20.8125,36.0,77.299,68.736,81.932,68.513,73.533,85.17,75.864,93.55,98.915,87.243,100.0,100.0,97.126,96.139,80.733,80.546,81.287,68.479,78.187,88.104,79.556,73.574,68.877,80.7,68.241,79.872,68.055,73.22,77.122,70.034,59.53,75.116,64.251,80.654,71.118,0.463,0.537,0.0,1.0,0.0
profile_0137,347.0625,372.125,25.0625,38.4375,347.0625,0.7097916666666667,0.71875,0.790625,0.7875000000000001,0.79375,16,0.9375,61.0,94.1,78.227,92.04,87.057,73.808,84.298,84.922,0.0,6.83,0.0,7.611,13.131,13.993,6.927,69.459,58.252,70.549,70.507,59.616,67.319,65.95,11.484,13.03,7.258,25.189,12.092,17.926,14.496,47.138,66.45,51.738,63.955,63.386,56.274,58.157,0.4348,0.5652,0.0,0.0,1.0
profile_0148,401.625,424.5625,22.9375,40.8125,401.625,0.7104166666666667,0.7,0.8,0.765625,0.759375,16,-21.0625,35.0,26.326,25.231,29.511,33.674,49.957,30.191,32.482,58.543,32.515,34.917,44.821,50.426,48.415,44.939,72.872,60.607,57.155,57.844,74.063,67.504,65.007,63.505,64.661,66.395,75.914,53.636,80.553,67.444,89.226,100.0,100.0,95.018,73.049,100.0,92.882,0.5433,0.4567,0.0,1.0,0.0
profile_0156,509.375,539.0625,29.6875,42.8125,509.375,0.7320833333333333,0.725,0.8250000000000001,0.796875,0.84375,16,-17.5625,42.0,32.972,28.012,32.244,32.87,25.914,24.064,29.346,95.863,88.537,99.103,88.057,83.587,81.873,89.503,39.351,40.848,50.814,43.831,36.302,32.7,40.641,69.628,75.091,73.072,51.825,77.758,83.413,71.798,53.887,64.735,55.029,83.319,74.636,56.143,64.625,0.4797,0.5203,0.0,1.0,0.0
profile_0158,414.0,458.4375,44.4375,44.4375,414.0,0.7139583333333334,0.69375,0.7937500000000001,0.7625000000000001,0.7937500000000001,16,-26.6875,31.0,91.572,97.628,83.066,91.422,84.633,73.252,86.929,100.0,78.011,93.038,93.586,82.155,100.0,91.132,33.3,25.122,45.388,41.473,33.518,51.06,38.31,100.0,100.0,79.29,81.784,99.916,96.454,92.907,27.824,22.777,16.464,35.73,40.658,24.278,27.955,0.6073,0.3927,0.0,1.0,0.0
profile_0170,437.875,476.625,38.75,56.25,437.875,0.73625,0.7375,0.8250000000000001,0.7937500000000001,0.796875,16,-17.375,40.0,15.512,23.855,21.171,35.292,19.79,35.636,25.209,72.059,97.741,81.215,77.895,74.599,100.0,83.918,62.725,57.428,60.392,69.375,74.564,82.262,67.791,67.6,72.685,79.471,73.92,67.573,67.421,71.445,24.541,20.847,22.827,19.029,14.415,14.737,19.4,0.5373,0.4627,1.0,0.0,0.0
profile_0176,474.1875,510.0625,35.875,43.25,474.1875,0.7108333333333333,0.7062499999999999,0.80625,0.7937500000000001,0.79375,16,-14.875,53.0,52.218,41.735,64.213,71.563,47.307,63.034,56.678,62.686,56.004,46.633,30.814,58.072,53.224,51.239,78.188,65.733,76.533,69.243,70.753,70.461,71.818,53.14,48.737,48.229,55.289,56.595,62.606,54.099,6.208,0.519,0.0,0.0,0.0,3.435,1.694,0.5587,0.4413,0.0,1.0,0.0
profile_0182,210.0,239.375,29.375,38.5,210.0,0.70375,0.69375,0.7937500000000001,0.6625000000000001,0.65,16,-27.5,18.0,68.436,60.284,58.189,55.327,63.984,66.484,62.117,89.698,88.381,99.429,100.0,92.125,83.189,92.137,38.689,29.508,25.055,37.675,32.31,23.47,31.118,46.654,37.953,48.404,41.74,47.74,44.754,44.541,10.651,15.637,17.726,17.574,20.544,19.162,16.882,0.3982,0.6018,0.0,1.0,0.0
profile_0187,488.3125,494.0625,5.75,53.5,488.3125,0.7,0.68125,0.78125,0.75,0.771875,16,-15.375,58.0,13.106,11.895,10.605,10.896,26.712,16.746,14.993,5.254,15.36,13.497,9.408,2.877,11.094,9.582,78.97,82.957,70.67,95.756,83.727,78.029,81.685,86.094,92.9,90.83,87.246,78.614,98.69,89.062,62.281,53.247,54.723,45.09,54.705,66.381,56.071,0.7658,0.2342,0.0,1.0,0.0
profile_0195,348.25,380.3125,32.0625,47.3125,348.25,0.7120833333333333,0.7,0.8,0.7875000000000001,0.74375,16,-0.3125,60.0,85.333,84.016,82.399,86.334,70.21,82.131,81.737,36.93,18.326,33.937,33.123,39.437,39.773,33.588,46.605,43.832,49.492,37.518,58.711,50.817,47.829,46.972,39.763,59.151,37.052,45.106,52.1,46.691,69.153,70.454,79.291,69.242,79.738,65.166,72.174,0.499,0.501,0.0,0.0,1.0
profile_0197,302.625,342.0,39.375,52.5,302.625,0.6885416666666666,0.66875,0.76875,0.64375,0.625,16,-15.5,27.0,43.678,40.515,40.184,42.723,39.628,50.415,42.857,62.311,90.469,87.643,68.913,62.922,73.724,74.33,67.855,39.168,55.939,49.963,60.988,37.59,51.917,87.424,91.817,99.971,86.142,85.807,79.156,88.386,82.077,98.066,96.699,96.964,99.093,94.99,94.648,0.5623,0.4377,0.0,0.0,1.0
profile_0206,146.875,162.375,15.5,29.5,146.875,0.6983333333333334,0.7,0.775,0.675,0.63125,16,-16.375,18.0,71.842,66.845,75.013,84.264,86.044,85.837,78.308,3.722,5.704,0.0,0.0,4.515,6.623,3.427,46.405,38.215,54.988,34.951,36.45,39.137,41.691,36.74,29.729,34.718,38.323,15.36,24.25,29.853,97.876,90.604,95.853,90.979,100.0,85.97,93.547,0.4772,0.5228,0.0,0.0,1.0
profile_0208,351.625,394.375,42.75,52.0,351.625,0.7045833333333333,0.69375,0.7937500000000001,0.675,0.675,16,-24.125,50.0,52.357,37.688,55.56,44.512,30.661,33.537,42.386,35.017,34.964,30.615,24.309,46.501,45.683,36.182,53.989,75.728,77.331,73.336,63.388,52.788,66.093,22.121,3.469,13.069,20.94,9.76,12.844,13.7,49.51,58.728,47.349,59.89,47.909,50.104,52.248,0.3639,0.6361,0.0,0.0,1.0
profile_0214,568.5,587.625,19.125,47.5,568.5,0.7022916666666666,0.68125,0.78125,0.7875,0.74375,16,-14.125,44.0,74.734,94.494,92.075,90.786,85.711,81.39,86.531,56.556,51.187,58.231,40.645,52.578,61.33,53.421,87.385,90.76,76.966,82.314,72.927,79.404,81.626,17.891,28.903,20.651,34.785,24.008,31.064,26.217,78.365,79.911,82.466,82.297,71.033,73.197,77.878,0.3515,0.6485,0.0,1.0,0.0
profile_0217,409.0,441.875,32.875,40.625,409.0,0.7177083333333334,0.725,0.8,0.7625000000000001,0.7875,16,-10.25,80.0,22.442,51.888,46.165,47.28,38.734,57.041,43.925,30.386,16.135,15.155,24.316,24.706,36.486,24.531,59.124,60.383,53.692,50.17,48.663,68.985,56.836,80.443,80.092,96.812,77.217,89.705,74.017,83.048,59.57,70.391,66.805,63.888,69.154,67.4,66.201,0.6912,0.3088,0.0,1.0,0.0
