term,weighted_mean_estimate,weighted_mean_abs_estimate,n_tasks,normalized_weight_pct,moderator_label,ontology_group,direction,estimate,mean_abs_estimate
profile_cont_big_five_neuroticism_mean_pct,0.05715283329327279,0.1582897360188664,4,1.3451058681989976,Big Five Neuroticism Mean %,Personality: Neuroticism,higher_effectivity,0.05715283329327279,0.1582897360188664
profile_cont_big_five_conscientiousness_dutifulness_pct,-0.06402002564592676,0.15809029731941115,4,1.3434110889181021,Big Five Conscientiousness Dutifulness %,Personality: Conscientiousness,lower_effectivity,-0.06402002564592676,0.15809029731941115
profile_cont_big_five_conscientiousness_mean_pct,-0.14871118205172457,0.15238087647674764,4,1.2948938845014555,Big Five Conscientiousness Mean %,Personality: Conscientiousness,lower_effectivity,-0.14871118205172457,0.15238087647674764
profile_cont_big_five_conscientiousness_deliberation_pct,-0.12378132850328538,0.1460167315926287,4,1.2408130019060313,Big Five Conscientiousness Deliberation %,Personality: Conscientiousness,lower_effectivity,-0.12378132850328538,0.1460167315926287
profile_cont_big_five_openness_to_experience_feelings_pct,0.08129042491162701,0.13497106005218512,4,1.1469496979361613,Big Five Openness To Experience Feelings %,Personality: Openness,higher_effectivity,0.08129042491162701,0.13497106005218512
profile_cont_big_five_neuroticism_depression_pct,-0.057871567018906715,0.11627251248330835,4,0.988054202281936,Big Five Neuroticism Depression %,Personality: Neuroticism,lower_effectivity,-0.057871567018906715,0.11627251248330835
profile_cont_big_five_agreeableness_trust_pct,0.03641809647554405,0.11447623188795841,4,0.9727898672055972,Big Five Agreeableness Trust %,Personality: Agreeableness,higher_effectivity,0.03641809647554405,0.11447623188795841
profile_cont_big_five_conscientiousness_order_pct,-0.10740851588781196,0.11431795390819512,4,0.9714448612390644,Big Five Conscientiousness Order %,Personality: Conscientiousness,lower_effectivity,-0.10740851588781196,0.11431795390819512
profile_cont_big_five_agreeableness_compliance_pct,-0.0014976772304407908,0.10983207356193302,4,0.9333249923861874,Big Five Agreeableness Compliance %,Personality: Agreeableness,lower_effectivity,-0.0014976772304407908,0.10983207356193302
profile_cont_big_five_agreeableness_altruism_pct,-0.0581882634693011,0.09536422181182212,4,0.8103808724529291,Big Five Agreeableness Altruism %,Personality: Agreeableness,lower_effectivity,-0.0581882634693011,0.09536422181182212
profile_cont_big_five_neuroticism_self_consciousness_pct,0.030191311833711362,0.0933542534431665,4,0.793300673094641,Big Five Neuroticism Self Consciousness %,Personality: Neuroticism,higher_effectivity,0.030191311833711362,0.0933542534431665
profile_cont_big_five_agreeableness_mean_pct,0.0033510191688706347,0.06692305966658849,4,0.5686951190861207,Big Five Agreeableness Mean %,Personality: Agreeableness,higher_effectivity,0.0033510191688706347,0.06692305966658849
profile_cont_big_five_openness_to_experience_mean_pct,0.04595777529809792,0.06524685970333535,4,0.5544511986428015,Big Five Openness To Experience Mean %,Personality: Openness,higher_effectivity,0.04595777529809792,0.06524685970333535
