term,weighted_mean_estimate,weighted_mean_abs_estimate,n_tasks,normalized_weight_pct,moderator_label,ontology_group,direction,estimate,mean_abs_estimate
profile_cont_big_five_neuroticism_mean_pct,0.0571528332932727,0.1582897360188664,4,1.3451058681989976,Big Five Neuroticism Mean %,Personality: Neuroticism,higher_effectivity,0.0571528332932727,0.1582897360188664
profile_cont_big_five_conscientiousness_dutifulness_pct,-0.0640200256459267,0.1580902973194111,4,1.343411088918102,Big Five Conscientiousness Dutifulness %,Personality: Conscientiousness,lower_effectivity,-0.0640200256459267,0.1580902973194111
profile_cont_big_five_conscientiousness_mean_pct,-0.1487111820517245,0.1523808764767476,4,1.2948938845014557,Big Five Conscientiousness Mean %,Personality: Conscientiousness,lower_effectivity,-0.1487111820517245,0.1523808764767476
profile_cont_big_five_conscientiousness_deliberation_pct,-0.1237813285032853,0.1460167315926287,4,1.2408130019060313,Big Five Conscientiousness Deliberation %,Personality: Conscientiousness,lower_effectivity,-0.1237813285032853,0.1460167315926287
profile_cont_big_five_openness_to_experience_feelings_pct,0.081290424911627,0.1349710600521851,4,1.1469496979361613,Big Five Openness To Experience Feelings %,Personality: Openness,higher_effectivity,0.081290424911627,0.1349710600521851
profile_cont_big_five_neuroticism_depression_pct,-0.0578715670189067,0.1162725124833083,4,0.988054202281936,Big Five Neuroticism Depression %,Personality: Neuroticism,lower_effectivity,-0.0578715670189067,0.1162725124833083
profile_cont_big_five_agreeableness_trust_pct,0.036418096475544,0.1144762318879584,4,0.9727898672055972,Big Five Agreeableness Trust %,Personality: Agreeableness,higher_effectivity,0.036418096475544,0.1144762318879584
profile_cont_big_five_conscientiousness_order_pct,-0.1074085158878119,0.1143179539081951,4,0.9714448612390644,Big Five Conscientiousness Order %,Personality: Conscientiousness,lower_effectivity,-0.1074085158878119,0.1143179539081951
profile_cont_big_five_agreeableness_compliance_pct,-0.0014976772304407,0.109832073561933,4,0.9333249923861874,Big Five Agreeableness Compliance %,Personality: Agreeableness,lower_effectivity,-0.0014976772304407,0.109832073561933
profile_cont_big_five_agreeableness_altruism_pct,-0.0581882634693011,0.0953642218118221,4,0.8103808724529291,Big Five Agreeableness Altruism %,Personality: Agreeableness,lower_effectivity,-0.0581882634693011,0.0953642218118221
profile_cont_big_five_neuroticism_self_consciousness_pct,0.0301913118337113,0.0933542534431665,4,0.793300673094641,Big Five Neuroticism Self Consciousness %,Personality: Neuroticism,higher_effectivity,0.0301913118337113,0.0933542534431665
profile_cont_big_five_agreeableness_mean_pct,0.0033510191688706,0.0669230596665884,4,0.5686951190861207,Big Five Agreeableness Mean %,Personality: Agreeableness,higher_effectivity,0.0033510191688706,0.0669230596665884
profile_cont_big_five_openness_to_experience_mean_pct,0.0459577752980979,0.0652468597033353,4,0.5544511986428015,Big Five Openness To Experience Mean %,Personality: Openness,higher_effectivity,0.0459577752980979,0.0652468597033353
