term,label,ontology_group,elastic_net_estimate
profile_cont_big_five_agreeableness_straightforwardness_pct,Big Five Agreeableness Straightforwardness %,Big Five: Agreeableness,0.0
profile_cont_big_five_agreeableness_tender_mindedness_pct,Big Five Agreeableness Tender Mindedness %,Big Five: Agreeableness,0.0
profile_cont_big_five_agreeableness_trust_pct,Big Five Agreeableness Trust %,Big Five: Agreeableness,0.0
profile_cont_big_five_conscientiousness_achievement_striving_pct,Big Five Conscientiousness Achievement Striving %,Big Five: Conscientiousness,0.0
profile_cont_big_five_conscientiousness_competence_pct,Big Five Conscientiousness Competence %,Big Five: Conscientiousness,0.0
profile_cont_big_five_conscientiousness_deliberation_pct,Big Five Conscientiousness Deliberation %,Big Five: Conscientiousness,0.0
profile_cont_big_five_conscientiousness_dutifulness_pct,Big Five Conscientiousness Dutifulness %,Big Five: Conscientiousness,0.0
profile_cont_big_five_conscientiousness_mean_pct,Big Five Conscientiousness Mean %,Big Five: Conscientiousness,0.0
profile_cont_big_five_conscientiousness_order_pct,Big Five Conscientiousness Order %,Big Five: Conscientiousness,0.0
profile_cont_big_five_conscientiousness_self_discipline_pct,Big Five Conscientiousness Self Discipline %,Big Five: Conscientiousness,0.0
profile_cont_big_five_extraversion_activity_level_pct,Big Five Extraversion Activity Level %,Big Five: Extraversion,0.0
profile_cont_big_five_extraversion_assertiveness_pct,Big Five Extraversion Assertiveness %,Big Five: Extraversion,0.0
profile_cont_big_five_extraversion_excitement_seeking_pct,Big Five Extraversion Excitement Seeking %,Big Five: Extraversion,0.0
profile_cont_big_five_extraversion_gregariousness_pct,Big Five Extraversion Gregariousness %,Big Five: Extraversion,0.0
profile_cont_big_five_extraversion_mean_pct,Big Five Extraversion Mean %,Big Five: Extraversion,0.0
profile_cont_big_five_extraversion_positive_emotions_pct,Big Five Extraversion Positive Emotions %,Big Five: Extraversion,0.0
profile_cont_big_five_extraversion_warmth_pct,Big Five Extraversion Warmth %,Big Five: Extraversion,0.0
profile_cont_big_five_neuroticism_anger_hostility_pct,Big Five Neuroticism Anger Hostility %,Big Five: Neuroticism,0.0
profile_cont_big_five_neuroticism_anxiety_pct,Big Five Neuroticism Anxiety %,Big Five: Neuroticism,0.0
profile_cont_big_five_neuroticism_depression_pct,Big Five Neuroticism Depression %,Big Five: Neuroticism,0.0
profile_cont_big_five_neuroticism_impulsiveness_pct,Big Five Neuroticism Impulsiveness %,Big Five: Neuroticism,0.0
profile_cont_big_five_neuroticism_mean_pct,Big Five Neuroticism Mean %,Big Five: Neuroticism,0.0
profile_cont_big_five_neuroticism_self_consciousness_pct,Big Five Neuroticism Self Consciousness %,Big Five: Neuroticism,0.0
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Big Five Neuroticism Stress Vulnerability %,Big Five: Neuroticism,0.0
profile_cont_big_five_openness_to_experience_actions_pct,Big Five Openness To Experience Actions %,Big Five: Openness,0.0
profile_cont_big_five_openness_to_experience_aesthetics_pct,Big Five Openness To Experience Aesthetics %,Big Five: Openness,0.0
profile_cont_big_five_openness_to_experience_fantasy_pct,Big Five Openness To Experience Fantasy %,Big Five: Openness,0.0
profile_cont_big_five_openness_to_experience_feelings_pct,Big Five Openness To Experience Feelings %,Big Five: Openness,0.0
profile_cont_big_five_openness_to_experience_ideas_pct,Big Five Openness To Experience Ideas %,Big Five: Openness,0.0
profile_cont_big_five_openness_to_experience_mean_pct,Big Five Openness To Experience Mean %,Big Five: Openness,0.0
profile_cont_big_five_openness_to_experience_values_pct,Big Five Openness To Experience Values %,Big Five: Openness,0.0
profile_cont_chronological_age,Chronological Age,Demographics: Age,0.0
profile_cont_political_psychology_ideological_positioning_ideological_extremity_pct,Political Psychology Ideological Positioning Ideological Extremity %,Political Psychology: Ideology,0.0
profile_cont_political_psychology_ideological_positioning_mean_pct,Political Psychology Ideological Positioning Mean %,Political Psychology: Ideology,0.0
profile_cont_political_psychology_ideological_positioning_partisan_identity_strength_pct,Political Psychology Ideological Positioning Partisan Identity Strength %,Political Psychology: Ideology,0.0
profile_cont_political_psychology_ideological_positioning_political_orientation_lr_pct,Political Psychology Ideological Positioning Political Orientation Lr %,Political Psychology: Ideology,0.0
profile_cont_political_psychology_institutional_trust_conspiracy_belief_propensity_pct,Political Psychology Institutional Trust Conspiracy Belief Propensity %,Political Psychology: Institutional Trust,0.0
profile_cont_political_psychology_institutional_trust_government_trust_pct,Political Psychology Institutional Trust Government Trust %,Political Psychology: Institutional Trust,0.0
profile_cont_political_psychology_institutional_trust_mainstream_media_trust_pct,Political Psychology Institutional Trust Mainstream Media Trust %,Political Psychology: Institutional Trust,0.0
profile_cont_political_psychology_institutional_trust_mean_pct,Political Psychology Institutional Trust Mean %,Political Psychology: Institutional Trust,0.0
profile_cont_political_psychology_institutional_trust_satisfaction_with_democracy_pct,Political Psychology Institutional Trust Satisfaction With Democracy %,Political Psychology: Institutional Trust,0.0
profile_cont_political_psychology_institutional_trust_scientific_consensus_trust_pct,Political Psychology Institutional Trust Scientific Consensus Trust %,Political Psychology: Institutional Trust,0.0
profile_cont_political_psychology_political_engagement_civic_participation_pct,Political Psychology Political Engagement Civic Participation %,Political Psychology: Engagement,0.0
profile_cont_political_psychology_political_engagement_mean_pct,Political Psychology Political Engagement Mean %,Political Psychology: Engagement,0.0
profile_cont_political_psychology_political_engagement_political_interest_pct,Political Psychology Political Engagement Political Interest %,Political Psychology: Engagement,0.0
profile_cont_political_psychology_political_engagement_voting_likelihood_pct,Political Psychology Political Engagement Voting Likelihood %,Political Psychology: Engagement,0.0
profile_cont_social_context_online_behavior_information_echo_chamber_pct,Social Context Online Behavior Information Echo Chamber %,Social Context: Online Behavior,0.0
profile_cont_social_context_online_behavior_mean_pct,Social Context Online Behavior Mean %,Social Context: Online Behavior,0.0
profile_cont_social_context_online_behavior_online_political_discussion_pct,Social Context Online Behavior Online Political Discussion %,Social Context: Online Behavior,0.0
profile_cont_social_context_online_behavior_social_media_hours_daily_pct,Social Context Online Behavior Social Media Hours Daily %,Social Context: Online Behavior,0.0
profile_cont_social_context_social_capital_community_belonging_pct,Social Context Social Capital Community Belonging %,Social Context: Social Capital,0.0
profile_cont_social_context_social_capital_interpersonal_trust_pct,Social Context Social Capital Interpersonal Trust %,Social Context: Social Capital,0.0
profile_cont_social_context_social_capital_mean_pct,Social Context Social Capital Mean %,Social Context: Social Capital,0.0
profile_cont_social_context_social_capital_social_isolation_pct,Social Context Social Capital Social Isolation %,Social Context: Social Capital,0.0
profile_cont_social_context_social_capital_social_network_diversity_pct,Social Context Social Capital Social Network Diversity %,Social Context: Social Capital,0.0
profile_cont_socioeconomic_status_economic_standing_economic_anxiety_pct,Socioeconomic Status Economic Standing Economic Anxiety %,Socioeconomic Status: Economic,0.0
profile_cont_socioeconomic_status_economic_standing_financial_security_pct,Socioeconomic Status Economic Standing Financial Security %,Socioeconomic Status: Economic,0.0
profile_cont_socioeconomic_status_economic_standing_household_income_quintile_pct,Socioeconomic Status Economic Standing Household Income Quintile %,Socioeconomic Status: Economic,0.0
profile_cont_socioeconomic_status_economic_standing_mean_pct,Socioeconomic Status Economic Standing Mean %,Socioeconomic Status: Economic,0.0
profile_cont_socioeconomic_status_economic_standing_subjective_class_position_pct,Socioeconomic Status Economic Standing Subjective Class Position %,Socioeconomic Status: Economic,0.0
profile_cont_socioeconomic_status_economic_standing_upward_mobility_belief_pct,Socioeconomic Status Economic Standing Upward Mobility Belief %,Socioeconomic Status: Economic,0.0
