term,moderator_label,ontology_group,weighted_mean_estimate,weighted_mean_abs_estimate,direction,n_tasks,normalized_weight_pct,estimate,mean_abs_estimate
profile_cont_big_five_extraversion_warmth_pct,Big Five Extraversion Warmth %,Personality: Extraversion,-0.3454933338044787,0.587994949154057,lower_effectivity,16,2.58189966556184,-0.3454933338044787,0.587994949154057
profile_cont_big_five_conscientiousness_order_pct,Big Five Conscientiousness Order %,Personality: Conscientiousness,-0.3895794698658313,0.5830269019406539,lower_effectivity,16,2.5600848532794633,-0.3895794698658313,0.5830269019406539
profile_cont_big_five_conscientiousness_self_discipline_pct,Big Five Conscientiousness Self Discipline %,Personality: Conscientiousness,-0.3900548351841479,0.56830716937499,lower_effectivity,16,2.495450161020415,-0.3900548351841479,0.56830716937499
profile_cont_big_five_openness_to_experience_values_pct,Big Five Openness To Experience Values %,Personality: Openness,-0.0850563605821193,0.5636557997055582,lower_effectivity,16,2.475025887289513,-0.0850563605821193,0.5636557997055582
profile_cont_big_five_agreeableness_tender_mindedness_pct,Big Five Agreeableness Tender Mindedness %,Personality: Agreeableness,-0.3088113476532149,0.5069275665286397,lower_effectivity,16,2.225930879793071,-0.3088113476532149,0.5069275665286397
profile_cont_big_five_extraversion_gregariousness_pct,Big Five Extraversion Gregariousness %,Personality: Extraversion,-0.4429453261731284,0.4983843865357933,lower_effectivity,16,2.1884175753027875,-0.4429453261731284,0.4983843865357933
profile_cont_big_five_neuroticism_anxiety_pct,Big Five Neuroticism Anxiety %,Personality: Neuroticism,-0.275359767910688,0.4781499408664801,lower_effectivity,16,2.099567647966522,-0.275359767910688,0.4781499408664801
profile_cont_big_five_agreeableness_straightforwardness_pct,Big Five Agreeableness Straightforwardness %,Personality: Agreeableness,0.2821456012054369,0.4489676709895471,higher_effectivity,16,1.97142761386591,0.2821456012054369,0.4489676709895471
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Big Five Neuroticism Stress Vulnerability %,Personality: Neuroticism,0.1045111547849944,0.4222896188189055,higher_effectivity,16,1.8542836586732372,0.1045111547849944,0.4222896188189055
profile_cont_big_five_extraversion_positive_emotions_pct,Big Five Extraversion Positive Emotions %,Personality: Extraversion,0.1186167317656882,0.4204527921900253,higher_effectivity,16,1.846218109699349,0.1186167317656882,0.4204527921900253
profile_cont_big_five_conscientiousness_dutifulness_pct,Big Five Conscientiousness Dutifulness %,Personality: Conscientiousness,0.0779080666519819,0.4073705011271983,higher_effectivity,16,1.7887734616313842,0.0779080666519819,0.4073705011271983
profile_cont_big_five_conscientiousness_mean_pct,Big Five Conscientiousness Mean %,Personality: Conscientiousness,-0.2309686415566246,0.3285936684805531,lower_effectivity,16,1.442862534748398,-0.2309686415566246,0.3285936684805531
profile_cont_big_five_agreeableness_altruism_pct,Big Five Agreeableness Altruism %,Personality: Agreeableness,-0.1326554807085983,0.3253867346685095,lower_effectivity,16,1.4287808128752653,-0.1326554807085983,0.3253867346685095
profile_cont_big_five_openness_to_experience_feelings_pct,Big Five Openness To Experience Feelings %,Personality: Openness,0.1461270350916778,0.31280098042761,higher_effectivity,16,1.3735164696829087,0.1461270350916778,0.31280098042761
profile_cont_big_five_openness_to_experience_aesthetics_pct,Big Five Openness To Experience Aesthetics %,Personality: Openness,0.0140516451380756,0.2853794590611549,higher_effectivity,16,1.2531079237470872,0.0140516451380756,0.2853794590611549
profile_cont_big_five_extraversion_mean_pct,Big Five Extraversion Mean %,Personality: Extraversion,-0.2168447021731925,0.2539784248487168,lower_effectivity,16,1.115225243210408,-0.2168447021731925,0.2539784248487168
profile_cont_big_five_neuroticism_mean_pct,Big Five Neuroticism Mean %,Personality: Neuroticism,0.0912243491023714,0.2101594412093969,higher_effectivity,16,0.9228150543705416,0.0912243491023714,0.2101594412093969
profile_cont_big_five_neuroticism_impulsiveness_pct,Big Five Neuroticism Impulsiveness %,Personality: Neuroticism,0.0302586202464456,0.1922895249055273,higher_effectivity,16,0.8443478311487136,0.0302586202464456,0.1922895249055273
profile_cont_big_five_agreeableness_mean_pct,Big Five Agreeableness Mean %,Personality: Agreeableness,-0.0077333355703184,0.1703430907845106,lower_effectivity,16,0.7479805222137487,-0.0077333355703184,0.1703430907845106
profile_cont_big_five_openness_to_experience_mean_pct,Big Five Openness To Experience Mean %,Personality: Openness,-0.0300130835686452,0.1655545258823111,lower_effectivity,16,0.7269538209856218,-0.0300130835686452,0.1655545258823111
